,0
hub_promo_mean,18.23034664578176
hub_wd_mean,13.712648918720562
hub_wd_median,11.760572380579355
promo_x_dow,5.897540854435768
dayofyear,5.066538563964986
day,4.908713174222276
PromoActive,4.434492797676018
week,3.5979027146164033
lag_364,2.9949824806586127
dow_sin,2.9830386151629495
lag_42_63_mean,2.7903932869789325
doy_cos,2.5013307027834593
hub_trend_ratio,2.3919380164035324
doy_sin,2.159185627759371
month,2.007806552400182
dow,1.778780423455396
dow_cos,1.458203208577936
lag_42,1.2894399249025343
year,1.0907918855535665
HubID,1.0182330330890663
month_cos,0.8624860181234724
is_month_end,0.8147448793505748
hub_last_value,0.5945837473310235
SchoolClosureFlag,0.5593742792068366
HubFormat,0.5345284923736158
hub_wd_appsessions_mean,0.5071989284309938
lag_63,0.4881904264598839
is_weekend,0.45264753246863093
log_competitor_distance,0.43554147077363575
AssortmentTier,0.39206471786416
hub_recent28_mean,0.2707235667007827
RegionalHoliday,0.2520836354157119
hub_std,0.19582305986009196
lag_56,0.1787616247450981
hub_mean,0.17518828104338208
hub_median,0.157412405526648
competitor_open_months,0.1496718849400358
hub_appsessions_mean,0.14160027771748343
loyalty_tenure_weeks,0.13153601701737616
hub_recent91_mean,0.11024291066898416
is_loyalty_renewal_month,0.10419183345910202
month_sin,0.09211064432450028
hub_recent182_mean,0.08278993285638736
lag_371,0.07000748451965108
hub_max,0.056272194508707137
lag_49,0.04733458947505544
loyalty_active,0.0462831289091782
LoyaltyProgram,0.011664274394712112
quarter,0.005095574396146765
is_month_start,0.004733910772415208
competitor_unknown,0.0022324686429443874
competitor_distance_missing,0.0
promo_x_weekend,0.0
