fold,rmsle_all,n_val,rmsle_open,rmsle_closed,n_open,strategy
holdout_last42,0.36546469894488914,46830,0.40855288459884637,0.0,37473,global_median
holdout_last42,0.23652355642462605,46830,0.2644096174865601,0.0,37473,hub_median
holdout_last42,0.18377103523742475,46830,0.20543758882520136,0.0,37473,hub_weekday_median
holdout_last42,0.22717810132215677,46830,0.25396233584478767,0.0,37473,hub_recent_mean
rolling_fold1,0.3726141789181168,46830,0.4022889541489267,0.0,40176,global_median
rolling_fold1,0.23602095255612535,46830,0.25481752314611295,0.0,40176,hub_median
rolling_fold1,0.20528208332154352,46830,0.22163062834783964,0.0,40176,hub_weekday_median
rolling_fold1,0.2254156138649343,46830,0.2433675814856483,0.0,40176,hub_recent_mean
rolling_fold2,0.3892802844529038,46830,0.4376889173562528,0.0,37044,global_median
rolling_fold2,0.27655244835822496,46830,0.31094290296321636,0.0,37044,hub_median
rolling_fold2,0.2294486617634373,46830,0.25798156332838856,0.0,37044,hub_weekday_median
rolling_fold2,0.2622074718410167,46830,0.2948140685678609,0.0,37044,hub_recent_mean
rolling_fold3,0.36546469894488914,46830,0.40855288459884637,0.0,37473,global_median
rolling_fold3,0.23652355642462605,46830,0.2644096174865601,0.0,37473,hub_median
rolling_fold3,0.18377103523742475,46830,0.20543758882520136,0.0,37473,hub_weekday_median
rolling_fold3,0.22717810132215677,46830,0.25396233584478767,0.0,37473,hub_recent_mean
