segment,n,rmsle,mean_actual
4,6688,0.12949203238946488,7492.703498803828
6,193,0.11408084133526891,8183.963730569948
5,6688,0.08950051869098566,6125.040520334928
3,4923,0.08641704886009507,6859.866138533414
2,6687,0.0862893697483359,7216.222072678331
0,5606,0.08283777014144982,8618.59400642169
1,6688,0.07485410370464969,7448.656399521531
