segment,n,rmsle,mean_actual
3,4962,0.13981103215859186,7125.9326884320835
2,714,0.09344210324236982,11171.453781512606
4,11597,0.08616911595454818,7312.351642666207
1,20200,0.08366365662539796,7162.217277227723
