HubID,n,rmsle,mean_actual
971,30,1.4228096969357014,9484.233333333334
415,34,0.40768854906540103,6430.911764705882
183,26,0.32731871805987234,7061.192307692308
39,33,0.23071124488032926,5659.818181818182
917,33,0.20301994598584092,6817.727272727273
310,42,0.2013913362405632,8238.690476190477
524,42,0.19454250093279157,7099.523809523809
286,33,0.18395709388382775,3830.4242424242425
657,33,0.16711153197756032,6316.666666666667
170,33,0.1670513405520488,4164.606060606061
517,34,0.1644683746179764,5980.411764705882
433,42,0.16286803862591254,4944.4047619047615
1081,42,0.16125084600383943,6465.142857142857
209,42,0.15734330819287826,5375.166666666667
1017,34,0.15554647307865874,6768.205882352941
547,33,0.15424186652064453,6274.484848484848
268,34,0.15252741697666927,5188.735294117647
711,33,0.15218929891773392,6013.818181818182
722,34,0.1504411750733626,10268.29411764706
1045,42,0.1479683239326481,7645.9047619047615
770,33,0.14600303404668924,5065.666666666667
13,33,0.14244064121739594,5001.30303030303
902,33,0.1420000951291141,4192.090909090909
988,34,0.13991155344880923,5088.382352941177
125,34,0.1398813200385909,12365.70588235294
538,34,0.13837112380917158,4302.117647058823
732,42,0.13743701556856502,6425.476190476191
696,34,0.13738362523170253,9166.0
530,42,0.13671706764741892,5432.071428571428
505,33,0.13659167105966324,5640.151515151515
931,42,0.13384528984362146,3572.7619047619046
177,34,0.13332319425016265,3793.0882352941176
709,34,0.1324537864143207,10423.323529411764
719,33,0.13193563710065417,5492.939393939394
453,42,0.1315984262147955,8395.738095238095
867,42,0.12963005794437563,4280.357142857143
274,42,0.128820624999687,5053.928571428572
122,42,0.12722213893844875,6792.642857142857
1073,33,0.12672624112500436,10043.666666666666
608,34,0.12593637914213074,9574.558823529413
144,34,0.12545589660378276,7692.5
91,33,0.12470578842974213,4633.272727272727
307,34,0.1241387824234934,2689.0
468,34,0.12340584088227328,5772.941176470588
1027,33,0.1233820591908808,13099.848484848484
254,33,0.12248935967154223,3468.090909090909
21,33,0.12222025134390596,5731.636363636364
423,42,0.12212777192383685,11799.5
437,34,0.12049379114749548,7309.382352941177
299,42,0.12009252643709668,6873.5
85,42,0.11992059279769719,7694.309523809524
131,33,0.11933468019592779,5340.727272727273
61,33,0.11920090748060025,5240.575757575758
40,33,0.11887133996313098,4364.333333333333
87,34,0.11835575652507566,6149.411764705882
324,34,0.11829839085521625,5300.85294117647
904,33,0.11751315116209766,5610.787878787879
577,34,0.1174796850077435,4687.735294117647
95,34,0.11712023666655982,7057.735294117647
99,33,0.11700300359480897,6051.060606060606
903,33,0.11639529361130753,11810.515151515152
972,34,0.11616011942717384,3444.8529411764707
764,33,0.11459284714591354,4158.090909090909
96,34,0.11401324223296201,5440.970588235294
671,33,0.11364994077827993,6939.515151515152
407,33,0.113643248844451,4541.606060606061
263,33,0.11359158239111576,4540.060606060606
587,33,0.1134561684481378,11396.484848484848
267,34,0.1133753114213077,9166.617647058823
1031,33,0.11312572047205639,5059.242424242424
604,33,0.11303149201222751,7498.939393939394
897,33,0.11277467503492129,3414.4242424242425
510,33,0.11250589745740071,8891.454545454546
337,33,0.11232752062568327,5502.272727272727
461,33,0.11223355462635222,4779.939393939394
525,34,0.11199115001735262,9822.911764705883
839,34,0.11173023163744704,4002.205882352941
863,42,0.11166400789444081,7406.738095238095
558,34,0.11119880703993502,3197.4117647058824
1000,33,0.11101299513238543,7501.727272727273
663,33,0.11055523404735093,6204.818181818182
208,34,0.11027992401242812,3083.1176470588234
669,33,0.11006927113996247,5208.212121212121
185,34,0.11002570536220428,7173.941176470588
462,34,0.1094879209967889,4710.264705882353
232,34,0.10945903473432808,3941.0
879,33,0.10942392633141854,4185.212121212121
198,34,0.10929892474112318,2834.970588235294
584,33,0.10902037969484438,5367.242424242424
421,34,0.10873235224302528,9822.529411764706
710,33,0.1085058390422968,5027.939393939394
952,33,0.10842008085822671,6430.818181818182
892,34,0.10818284972550404,7563.823529411765
165,33,0.10804894717495579,4003.212121212121
266,34,0.10803486158208077,4220.029411764706
630,33,0.10792842252152075,6005.636363636364
1012,33,0.10766181731705513,6214.969696969697
1050,33,0.10736913720364305,7570.636363636364
441,33,0.10732944421941332,7366.757575757576
795,33,0.1071124313878352,4910.727272727273
385,33,0.1071100473531583,7893.666666666667
276,34,0.10703241857335218,3861.4117647058824
953,34,0.10688255514972221,5516.14705882353
750,33,0.1065809728480326,5313.30303030303
430,33,0.10621791011618524,9247.818181818182
50,33,0.10615166834113059,4766.787878787879
103,34,0.10604206915431187,4793.5
41,33,0.10578157350074718,6340.30303030303
852,33,0.10569256369389873,4531.636363636364
503,34,0.10563635236446423,7082.558823529412
590,33,0.10533888520326846,5448.090909090909
915,33,0.10519018337097273,6883.151515151515
634,34,0.10440906945091319,6822.117647058823
217,34,0.10432685672088164,5133.735294117647
712,33,0.10398974702205828,6159.939393939394
80,33,0.10385058851747567,8445.121212121212
914,34,0.10385034067379954,9162.058823529413
568,33,0.10384835899221666,5582.30303030303
428,33,0.10360534849271127,6707.333333333333
842,33,0.1033955732842969,20906.333333333332
302,33,0.10329341774125378,4074.151515151515
553,33,0.103043098358282,7885.757575757576
483,34,0.10298855903234957,5005.35294117647
805,33,0.10287176183344962,5938.575757575758
72,33,0.10257314538257767,4609.060606060606
335,42,0.10256643638367072,14009.0
1099,42,0.10242551788208151,7397.4047619047615
815,33,0.10228815450228619,6464.121212121212
521,33,0.10207758624080004,5427.484848484848
661,33,0.10161923399208443,7530.606060606061
269,33,0.10155952688286132,9706.0
288,33,0.10124586992650599,6042.69696969697
373,33,0.10123046528300973,4777.636363636364
412,33,0.10122398239449655,9981.121212121212
434,33,0.10100548014817902,11160.848484848484
614,34,0.10089937309238267,6671.970588235294
942,33,0.10085715969750811,6737.909090909091
301,34,0.10065464780616341,5496.764705882353
885,33,0.10056747786500773,6325.333333333333
1083,33,0.10056677621728398,5814.69696969697
675,33,0.10050924612879727,3865.030303030303
1103,33,0.10025059064907169,5932.424242424242
841,34,0.10019538866659537,2632.970588235294
186,33,0.10004196892609889,4063.3030303030305
440,33,0.09909160708568931,5659.606060606061
1074,34,0.09906970119359808,5259.294117647059
210,33,0.0989554212652837,3269.4545454545455
379,34,0.09892533481444447,4311.323529411765
905,33,0.09891683915458609,7173.393939393939
1115,33,0.09882288225724505,7498.0
187,34,0.09869110655889422,6262.588235294118
203,34,0.09831353369926912,6997.411764705882
257,34,0.09831104175783259,5149.205882352941
242,33,0.0982961019346127,4226.727272727273
78,34,0.09822201754659163,3786.4117647058824
149,33,0.09820693792063981,5676.333333333333
840,34,0.09812824114325303,6994.558823529412
283,33,0.09802384505708733,7856.757575757576
607,34,0.09791295936283502,3765.794117647059
573,33,0.09790720094289972,4001.969696969697
800,33,0.09769930394598506,5017.030303030303
102,33,0.09744436741372181,7496.090909090909
611,33,0.09739734867935412,6147.636363636364
398,34,0.09737384431896262,5642.529411764706
735,34,0.09712693891979834,5562.85294117647
649,34,0.09711481112360917,3764.676470588235
306,33,0.09699222798635901,4570.636363636364
1057,34,0.09688437142591659,6614.5
641,33,0.09684675990889904,5856.939393939394
1030,34,0.09673067371307809,3546.0588235294117
484,34,0.09648733659578848,7921.029411764706
110,34,0.09641970949475981,4412.323529411765
702,33,0.09640433102877563,4456.787878787879
1067,33,0.09604616728955012,6502.090909090909
869,34,0.09603912735408544,6036.882352941177
460,34,0.09602656110934989,3724.3823529411766
519,34,0.09601302590163545,5410.764705882353
450,33,0.09595060750556364,9242.121212121212
1004,33,0.09594872918212011,5916.0
891,33,0.09583658012396418,7505.969696969697
345,33,0.09575236284223046,4367.515151515152
751,33,0.09565992450816187,4491.030303030303
871,33,0.09563018136964554,7299.515151515152
20,33,0.09560747640661107,8518.212121212122
970,33,0.09554137700331106,3141.757575757576
37,34,0.09551575694150588,6936.264705882353
944,34,0.09520562473764738,7342.85294117647
317,33,0.09509977068995527,5943.878787878788
1014,33,0.09509753252588508,10738.636363636364
964,33,0.09495900744582085,9635.454545454546
1049,33,0.09490157369281638,3933.909090909091
113,33,0.09483091928467188,6174.272727272727
736,33,0.09469943088292186,5043.060606060606
822,34,0.09469900202804545,7399.058823529412
275,33,0.09465697847489482,6826.090909090909
881,33,0.09450639858070203,4285.606060606061
100,33,0.09428896576385969,8598.666666666666
956,33,0.09425590291512946,3333.242424242424
192,33,0.09412462251907712,13358.90909090909
1104,33,0.09411740025413971,5468.727272727273
837,33,0.09410508869362477,4231.606060606061
414,33,0.09391218323925214,7061.969696969697
1068,33,0.09388363153294058,4716.393939393939
429,33,0.09388136692739243,5580.151515151515
801,34,0.09385309992513947,5340.411764705882
991,33,0.09381886607853361,6288.575757575758
997,33,0.0937489476904096,5124.515151515152
705,33,0.09348355919944577,8383.30303030303
68,34,0.09343941846197852,7714.029411764706
422,34,0.0933853308289318,4488.64705882353
444,34,0.09338388417065009,11520.20588235294
912,34,0.09336445179737347,5833.735294117647
63,34,0.09331805693165719,7439.5
1093,34,0.09298894472260535,8769.35294117647
786,34,0.09287725627271418,3453.735294117647
563,33,0.09285032656598628,4862.939393939394
636,33,0.09254780196611878,6529.333333333333
925,33,0.09230516027862104,7267.878787878788
1015,33,0.09225966659031049,6445.969696969697
893,33,0.09223488948505225,6598.363636363636
550,33,0.092033194414332,7345.30303030303
596,34,0.09199412618043298,4597.823529411765
1082,34,0.09184616400171809,6506.941176470588
326,33,0.09175284170014408,5789.333333333333
578,42,0.09170688288267932,8814.619047619048
136,33,0.09164636556576804,5781.545454545455
548,33,0.09155167573734026,5368.424242424242
845,33,0.09154125544054793,5245.666666666667
218,33,0.09153549015612363,4972.575757575758
262,42,0.0913952534797282,21864.238095238095
1018,34,0.09128524076752134,11280.64705882353
918,34,0.09126676663769939,5389.676470588235
327,34,0.09125151913545348,8019.382352941177
684,33,0.09124174254631347,9421.060606060606
75,34,0.09116726905792039,6311.676470588235
500,33,0.09103286722254507,6206.515151515152
182,33,0.09087545961760066,5807.606060606061
121,34,0.09086562707096006,4513.64705882353
699,33,0.09086354110685226,7813.090909090909
420,33,0.09082558138864398,5495.818181818182
864,33,0.09082121527756647,4684.060606060606
485,33,0.09079121270833554,5499.757575757576
660,33,0.09066064266644575,5012.333333333333
1036,33,0.09039553168030862,5538.727272727273
65,34,0.09035964986955783,5259.64705882353
797,33,0.09031616830221201,5385.484848484848
499,33,0.09025128134904774,6177.272727272727
330,33,0.0901852037698771,4328.69696969697
1094,33,0.09017869127905699,5221.939393939394
1110,34,0.09016469423164113,5054.441176470588
1065,33,0.0901417099514496,4437.636363636364
980,33,0.09012144536393646,6691.030303030303
45,33,0.0901056355732308,5630.333333333333
804,33,0.0900791277455066,5261.484848484848
313,34,0.08991516871992031,7076.294117647059
685,33,0.08975588360968915,6111.363636363636
955,33,0.08969414710448953,5405.454545454545
666,33,0.08963834640291116,7628.575757575758
458,33,0.08958596446793853,8062.757575757576
1056,33,0.08956184764612188,4830.939393939394
628,34,0.08954405256378516,6437.617647058823
347,33,0.08941890226200198,5471.636363636364
1113,34,0.0893830331746631,6631.911764705882
518,33,0.08926922933961182,6445.757575757576
401,34,0.0891808304581973,7570.205882352941
522,33,0.08918053016041425,9086.181818181818
851,33,0.08916326882052097,5611.030303030303
375,34,0.08909586621069131,9368.64705882353
598,33,0.0890868847332287,5951.363636363636
52,33,0.0890229940796994,6827.363636363636
395,33,0.08893548088665412,4243.848484848485
402,34,0.0888783114844497,5854.205882352941
777,33,0.08884946234497944,4733.515151515152
554,34,0.08883243896870004,5366.088235294118
772,34,0.08881308184711832,4064.6470588235293
694,33,0.08876603039101771,8641.69696969697
629,33,0.0887393653679494,6707.939393939394
239,33,0.08871501690130623,5752.787878787879
688,34,0.08870365632026331,3655.735294117647
1100,33,0.08869480572136762,5164.727272727273
706,33,0.0886098268340349,6117.515151515152
409,33,0.0885817066374605,6215.727272727273
139,33,0.08856404046285145,6839.363636363636
442,33,0.08843387060698604,4787.969696969697
225,34,0.08842066579727807,5401.676470588235
650,33,0.08833855268391334,6587.0
785,33,0.08826820239385366,7764.909090909091
22,33,0.08814081526526713,4818.969696969697
338,33,0.0880234388609757,7033.333333333333
1032,34,0.08801014898611556,9216.235294117647
713,33,0.08782853472490783,9762.969696969696
676,42,0.0877193705971226,10037.904761904761
216,33,0.08769601551412479,7072.121212121212
627,33,0.08765944363487774,6936.393939393939
680,34,0.08760650492813697,5151.764705882353
193,33,0.08754170585803268,5357.454545454545
1076,33,0.08742188767901153,4289.545454545455
989,33,0.08728989953089869,5452.787878787879
740,33,0.08725088019404066,7859.818181818182
194,33,0.0871993970109121,5040.393939393939
765,33,0.08712751106751321,8970.121212121212
874,34,0.08708205563915906,5137.0
